username,user_handle,date,retweets,favorites,text,geological_location,mentions,hashtags,tweet_id,permalink
UCFSportsInfo,UCFSportsInfo,2018-03-03 22:07,3,40,"Thank you @SouthwestAir for having the @nflnetwork on the in-flight entertainment allowing me to watch UCF's @Shaquemgriffin and @TreQuanSmithUCF at the #NFLCombine today pic.twitter.com/j1GkCn3BGK",,@SouthwestAir @nflnetwork @Shaquemgriffin @TreQuanSmithUCF,#NFLCombine,"970103453438574592",https://twitter.com/UCFSportsInfo/status/970103453438574592
Jacie Hoyt,CoachJacie,2018-03-03 21:56,0,35,"Got so caught up watching a game online I left my precious @GiordanosPizza at the gate. Just a few minutes before takeoff a @SouthwestAir attendant agreed to run back off the plane and grab it for me. @SouthwestAir you are THE. REAL. MVP #happyflight",,@GiordanosPizza @SouthwestAir @SouthwestAir,#happyflight,"970100600913481729",https://twitter.com/CoachJacie/status/970100600913481729
CMT,CMT,2018-03-03 20:30,28,210,"The #ACMawards noms were announced Thursday, and some of the nominees reactions are HILARIOUS. Most notably, @carlypearce on her @SouthwestAir flight... http:// at.cmt.com/v5mL30iJ4U9 pic.twitter.com/uXtGEl2pKy",,@carlypearce @SouthwestAir,#ACMawards,"970078926977593344",https://twitter.com/CMT/status/970078926977593344
Tampa Intl Airport ✈️,FlyTPA,2018-03-03 20:00,6,32,"The @SouthwestAir Arizona livery paid us a visit this beautiful day! Thanks Raphael Duncan for the capture! pic.twitter.com/ViMIWuOjy9",,@SouthwestAir,,"970071532931252225",https://twitter.com/FlyTPA/status/970071532931252225
Joseph Duarte,Joseph_Duarte,2018-03-03 16:32,3,17,"Latest ESPN projection has @UHCougarMBK a 6 seed facing 13 seed Buffalo (not possible). Does @SouthwestAir fly to NULL? pic.twitter.com/78EEDDHr3j",,@UHCougarMBK @SouthwestAir,,"970019033813790720",https://twitter.com/Joseph_Duarte/status/970019033813790720
CVG Airport,CVGairport,2018-03-03 15:38,9,23,"The countdown to @SouthwestAir 's inaugural flight to @PHXSkyHarbor has begun! Who has their trip planned? #CVGnext pic.twitter.com/TQffRraMpK",,@SouthwestAir @PHXSkyHarbor,#CVGnext,"970005386341371906",https://twitter.com/CVGairport/status/970005386341371906
Dick Leinenkugel,DickLeinie,2018-03-03 15:18,4,64,"In a world full of no, @SouthwestAir said yes when I asked for @Leinenkugels Summer Shandy. Let summer begin! pic.twitter.com/Ar6pz7ST2p",,@SouthwestAir @Leinenkugels,,"970000413012316160",https://twitter.com/DickLeinie/status/970000413012316160
AirlineGeeks.com,AirlineGeeks,2018-03-03 14:00,22,40,"Since being put into service in 1967, the 737 is now the world’s best selling aircraft, and in just a few weeks, the 10,000th 737 will be delivered to @SouthwestAir . https:// zurl.co/J8pA3 pic.twitter.com/8Ut2BcAZY7",,@SouthwestAir,,"969980726891438080",https://twitter.com/AirlineGeeks/status/969980726891438080
Chelsea Rosiek,CoachRosiek,2018-03-03 13:47,5,14,"@SouthwestAir we are on a flight from San Diego to Buffalo (layover in Phoenix) and are experiencing the antics of the most passive aggressive and rudest flight attendant. We purchased 33 tickets for our group flight. Great way to start the morning. #notreally",,@SouthwestAir,#notreally,"969977669264687104",https://twitter.com/CoachRosiek/status/969977669264687104
Bluffton University Baseball,BlufftonUBsball,2018-03-03 10:58,0,50,"Thanks @SouthwestAir for smooth check-in process and safe flight!",,@SouthwestAir,,"969934950131732485",https://twitter.com/BlufftonUBsball/status/969934950131732485
