username,user_handle,date,retweets,favorites,text,geological_location,mentions,hashtags,tweet_id,permalink,col1,col2,col3
Kamran Pasha,kamranpasha,2018-05-24 23:37,7,96,"This is absolutely outrageous. Our mother is a saint. Anyone who messes with her, God takes care of real fast. Auzubillah.",,,,"9,99841800419361E+017",https://twitter.com/kamranpasha/status/999841800419360768,,,
YoBits⚡Spread 'em BCH⚡,StackmyBCHup,2018-05-24 20:58,5,17,"@agoda @bookingcom @Expedia @ExpediaUK @ExpediaAsia @Airbnb You all just lost all of my business to @CheapAir Keep up, or get left behind.",,@agoda @bookingcom @Expedia @ExpediaUK @ExpediaAsia @Airbnb @CheapAir,,"9,99801784091664E+017",https://twitter.com/StackmyBCHup/status/999801784091664384,,,
Steve Benjamin,SteveBenjaminSC,2018-05-24 20:07,12,69,My wife would challenge this superlative but the crew at @AmericanAir was incredible & my fellow passengers really turned into lemonade! @HarrisPastides even offered to split the bill! Big shout out to the incredible restaurant staff at @CAEAirport ! http://www. thestate.com/news/local/art icle211806629.html …,,@AmericanAir @HarrisPastides @CAEAirport,,"9,99788942819029E+017",https://twitter.com/SteveBenjaminSC/status/999788942819028992,,,
JohnnyJet,JohnnyJet,2018-05-24 19:36,5,18,"Hey. @AmericanAir what’s up with throwing away all the packaged snacks (i.e. potato chips, popcorn, cookies, almonds...) for first and business class pax? Flight attendant just came around and said take them all because we have to throw them away. #fail",,@AmericanAir,#fail,"9,99781302441308E+017",https://twitter.com/JohnnyJet/status/999781302441308160,,,
Lici,licikoch,2018-05-24 17:43,7,21,Thx @AlaskaAir ! Who’s next? @Delta @united @AmericanAir @SouthwestAir https:// twitter.com/seavoicenews/s tatus/999717858832732161 …,,@AlaskaAir @Delta @united @AmericanAir @SouthwestAir,,"9,99752752279441E+017",https://twitter.com/licikoch/status/999752752279441408,,,
Unshakable Man,UnshakableMan,2018-05-24 17:32,3,17,"Same here. I'm >1M on 3 different airlines ( @AmericanAir , @united , & @delta ). I haven't flown @Delta , nor have I approved @delta flights for my 100+ person field sales team, since they dropped @nra . But dhogg likes them, so I guess they have that going for them...",,@AmericanAir @united @delta @Delta @delta @nra,,"9,99750045405659E+017",https://twitter.com/UnshakableMan/status/999750045405659140,,,
Jonny_Red #MAGA 💯,jonny_red32,2018-05-24 16:56,48,58,Do you want to know how @nFuszInc can help market your service in the #travel arena? Check out this awesome demo from @SouthwestAir #Travel #travelwriter #marketing #Business #timeshare #rental #sales $ FUSZ @Delta @AmericanAir @airfrance @NorthwestAirUSA https:// nfusz.com/project/southw est-airlines-hawaii/ …,,@nFuszInc @SouthwestAir @Delta @AmericanAir @airfrance @NorthwestAirUSA,#travel #Travel #travelwriter #marketing #Business #timeshare #rental #sales,"9,99740959654056E+017",https://twitter.com/jonny_red32/status/999740959654055938,,,
Gonza,gonzaviation,2018-05-24 16:35,3,13,American Airlines @AmericanAir #Airbus #AirbusA330 pic.twitter.com/3wP5sQ2oo7,,@AmericanAir,#Airbus #AirbusA330,"9,99735676533961E+017",https://twitter.com/gonzaviation/status/999735676533960707,,,
victoriaisley,victoriaisley,2018-05-24 14:34,5,14,. @Bermuda nails it with @rosewoodbermuda renovation on the pages of #AmericanWay magazine just as @AmericanAir non-stop service resumes from @washingtondc and #Charlotte #DC #BermudaDay #bermudaful #gotobermuda pic.twitter.com/0Phk9nswwC,,@Bermuda @rosewoodbermuda @AmericanAir @washingtondc,#AmericanWay #Charlotte #DC #BermudaDay #bermudaful #gotobermuda,"9,99705328316019E+017",https://twitter.com/victoriaisley/status/999705328316018689,,,
Robert Corrigan,PFDCorrigan,2018-05-24 14:24,25,101,New @PhillyFireDept #ARFF shift commander car F21 fully marked with @AmericanAir @Airbus A321 at @PHLAirport @IAFF22 @PhillyFireNews #avgeek pic.twitter.com/QPCnGT6kbu,,@PhillyFireDept @AmericanAir @Airbus @PHLAirport @IAFF22 @PhillyFireNews,#ARFF #avgeek,"9,99702729055441E+017",https://twitter.com/PFDCorrigan/status/999702729055440902,,,
Miami Int'l Airport,iflymia,2018-05-24 14:00,10,20,"Kudos to our very own @americanair Maintenance Technician, Zulma Gallego, on #AviationMaintenanceTechnicianDay ! pic.twitter.com/8Lq58NYeQk",,@americanair,#AviationMaintenanceTechnicianDay,"9,99696777375777E+017",https://twitter.com/iflymia/status/999696777375776768,,,
airfarewatchdog,airfarewatchdog,2018-05-24 13:50,8,17,"Nationwide Sale to Europe on @AmericanAir . Fares from $410+ Roundtrip for Late Summer Travel. Deals to #Berlin , #Munich , #Frankfurt , #Hamburg , #Dusseldorf , #Geneva , #Zurich ... https:// bit.ly/2x9ouAP #airfare #flights pic.twitter.com/xtfBMQdPNa",,@AmericanAir,#Berlin #Munich #Frankfurt #Hamburg #Dusseldorf #Geneva #Zurich #airfare #flights,"9,99694254430605E+017",https://twitter.com/airfarewatchdog/status/999694254430605312,,,
Linda,flylabrock,2018-05-24 12:04,2,20,"I’ll say it anytime, anywhere - @AmericanAir has the best AMTs in the industry. If you are flying today- or know an AMT - be sure to thank them for everything they do. They are our behind-the-scenes heroes! https:// twitter.com/americanair/st atus/999664891001753601 …",,@AmericanAir,,"9,99667503239332E+017",https://twitter.com/flylabrock/status/999667503239331840,,,
April,ReignOfApril,2018-05-24 11:18,3,10,"Question this morning: If you are loyal to @AmericanAir , @Delta , or @united airline, which one and why? I’ve been rocking it with @SouthwestAir this year but have been told by several that I need to step my game up. Reply below (don’t quote tweet) if you’re a FREQUENT flyer. pic.twitter.com/CKMy2D7S7P",,@AmericanAir @Delta @united @SouthwestAir,,"9,99655990437011E+017",https://twitter.com/ReignOfApril/status/999655990437011456,,,
